child,parent_1,parent_2,parent_3
GEN=54_MEMBER=118_DE,GEN=30_MEMBER=870_DE,GEN=43_MEMBER=1266_DE,GEN=14_MEMBER=403_DE,GEN=33_MEMBER=966_DE
GEN=54_MEMBER=119_DE,GEN=30_MEMBER=870_DE,GEN=26_MEMBER=752_DE,GEN=17_MEMBER=502_DE,GEN=26_MEMBER=762_DE
GEN=55_MEMBER=120_DE,GEN=30_MEMBER=870_DE,GEN=42_MEMBER=1237_DE,GEN=39_MEMBER=1165_DE,GEN=52_MEMBER=59_DE
GEN=55_MEMBER=121_DE,GEN=30_MEMBER=870_DE,GEN=47_MEMBER=1388_DE,GEN=6_MEMBER=158_DE,GEN=20_MEMBER=588_DE
GEN=55_MEMBER=122_DE,GEN=30_MEMBER=870_DE,GEN=47_MEMBER=1388_DE,GEN=43_MEMBER=1266_DE,GEN=52_MEMBER=30_DE
GEN=55_MEMBER=123_DE,GEN=40_MEMBER=1186_DE,GEN=50_MEMBER=1475_DE,GEN=47_MEMBER=1388_DE,GEN=14_MEMBER=403_DE
GEN=55_MEMBER=124_DE,GEN=30_MEMBER=870_DE,GEN=53_MEMBER=60_DE,GEN=54_MEMBER=97_DE,GEN=53_MEMBER=86_DE
GEN=55_MEMBER=125_DE,GEN=30_MEMBER=870_DE,GEN=26_MEMBER=752_DE,GEN=47_MEMBER=1388_DE,GEN=43_MEMBER=1266_DE
GEN=55_MEMBER=126_DE,GEN=43_MEMBER=1266_DE,GEN=20_MEMBER=588_DE,GEN=42_MEMBER=1237_DE,GEN=52_MEMBER=30_DE
GEN=55_MEMBER=127_DE,GEN=30_MEMBER=870_DE,GEN=50_MEMBER=1475_DE,GEN=45_MEMBER=1330_DE,GEN=50_MEMBER=1480_DE
GEN=55_MEMBER=128_DE,GEN=30_MEMBER=870_DE,GEN=40_MEMBER=1186_DE,GEN=43_MEMBER=1266_DE,GEN=52_MEMBER=34_DE
GEN=55_MEMBER=129_DE,GEN=40_MEMBER=1186_DE,GEN=45_MEMBER=1330_DE,GEN=50_MEMBER=1480_DE,GEN=42_MEMBER=1237_DE
GEN=55_MEMBER=130_DE,GEN=47_MEMBER=1388_DE,GEN=6_MEMBER=158_DE,GEN=45_MEMBER=1330_DE,GEN=49_MEMBER=1445_DE
GEN=55_MEMBER=131_DE,GEN=30_MEMBER=870_DE,GEN=50_MEMBER=1475_DE,GEN=14_MEMBER=403_DE,GEN=17_MEMBER=502_DE
GEN=55_MEMBER=132_DE,GEN=50_MEMBER=1480_DE,GEN=14_MEMBER=403_DE,GEN=54_MEMBER=97_DE,GEN=51_MEMBER=6_DE
GEN=55_MEMBER=133_DE,GEN=30_MEMBER=870_DE,GEN=47_MEMBER=1388_DE,GEN=6_MEMBER=158_DE,GEN=39_MEMBER=1165_DE
GEN=55_MEMBER=134_DE,GEN=50_MEMBER=1475_DE,GEN=50_MEMBER=1480_DE,GEN=14_MEMBER=403_DE,GEN=51_MEMBER=6_DE
GEN=55_MEMBER=135_DE,GEN=50_MEMBER=1480_DE,GEN=14_MEMBER=403_DE,GEN=53_MEMBER=60_DE,GEN=54_MEMBER=116_DE
GEN=55_MEMBER=136_DE,GEN=30_MEMBER=870_DE,GEN=47_MEMBER=1388_DE,GEN=50_MEMBER=1480_DE,GEN=35_MEMBER=1039_DE
GEN=55_MEMBER=137_DE,GEN=50_MEMBER=1475_DE,GEN=47_MEMBER=1388_DE,GEN=43_MEMBER=1266_DE,GEN=52_MEMBER=30_DE
GEN=55_MEMBER=138_DE,GEN=40_MEMBER=1186_DE,GEN=47_MEMBER=1388_DE,GEN=6_MEMBER=158_DE,GEN=42_MEMBER=1237_DE
GEN=55_MEMBER=139_DE,GEN=26_MEMBER=752_DE,GEN=43_MEMBER=1266_DE,GEN=45_MEMBER=1330_DE,GEN=20_MEMBER=588_DE
GEN=55_MEMBER=140_DE,GEN=47_MEMBER=1388_DE,GEN=43_MEMBER=1266_DE,GEN=45_MEMBER=1330_DE,GEN=17_MEMBER=502_DE
GEN=55_MEMBER=141_DE,GEN=6_MEMBER=158_DE,GEN=45_MEMBER=1330_DE,GEN=49_MEMBER=1445_DE,GEN=26_MEMBER=762_DE
GEN=55_MEMBER=142_DE,GEN=30_MEMBER=870_DE,GEN=50_MEMBER=1475_DE,GEN=43_MEMBER=1266_DE,GEN=51_MEMBER=13_DE
GEN=55_MEMBER=143_DE,GEN=40_MEMBER=1186_DE,GEN=53_MEMBER=60_DE,GEN=35_MEMBER=1039_DE,GEN=26_MEMBER=762_DE
GEN=55_MEMBER=144_DE,GEN=40_MEMBER=1186_DE,GEN=49_MEMBER=1445_DE,GEN=14_MEMBER=403_DE,GEN=35_MEMBER=1039_DE
GEN=55_MEMBER=145_DE,GEN=26_MEMBER=752_DE,GEN=43_MEMBER=1266_DE,GEN=39_MEMBER=1165_DE,GEN=26_MEMBER=762_DE
GEN=55_MEMBER=146_DE,GEN=30_MEMBER=870_DE,GEN=26_MEMBER=752_DE,GEN=43_MEMBER=1266_DE,GEN=14_MEMBER=403_DE
GEN=55_MEMBER=147_DE,GEN=47_MEMBER=1388_DE,GEN=33_MEMBER=966_DE,GEN=26_MEMBER=762_DE,GEN=52_MEMBER=59_DE
GEN=55_MEMBER=148_DE,GEN=26_MEMBER=752_DE,GEN=45_MEMBER=1330_DE,GEN=53_MEMBER=60_DE,GEN=53_MEMBER=86_DE
GEN=55_MEMBER=149_DE,GEN=30_MEMBER=870_DE,GEN=50_MEMBER=1480_DE,GEN=26_MEMBER=762_DE,GEN=51_MEMBER=13_DE
GEN=56_MEMBER=150_DE,GEN=43_MEMBER=1266_DE,GEN=45_MEMBER=1330_DE,GEN=49_MEMBER=1445_DE,GEN=14_MEMBER=403_DE
GEN=56_MEMBER=151_DE,GEN=55_MEMBER=143_DE,GEN=45_MEMBER=1330_DE,GEN=50_MEMBER=1480_DE,GEN=42_MEMBER=1237_DE
GEN=56_MEMBER=152_DE,GEN=26_MEMBER=752_DE,GEN=14_MEMBER=403_DE,GEN=53_MEMBER=60_DE,GEN=39_MEMBER=1165_DE
GEN=56_MEMBER=153_DE,GEN=55_MEMBER=143_DE,GEN=6_MEMBER=158_DE,GEN=50_MEMBER=1480_DE,GEN=20_MEMBER=588_DE
GEN=56_MEMBER=154_DE,GEN=40_MEMBER=1186_DE,GEN=30_MEMBER=870_DE,GEN=26_MEMBER=752_DE,GEN=42_MEMBER=1237_DE
GEN=56_MEMBER=155_DE,GEN=30_MEMBER=870_DE,GEN=45_MEMBER=1330_DE,GEN=50_MEMBER=1480_DE,GEN=53_MEMBER=60_DE
GEN=56_MEMBER=156_DE,GEN=30_MEMBER=870_DE,GEN=47_MEMBER=1388_DE,GEN=43_MEMBER=1266_DE,GEN=45_MEMBER=1330_DE
GEN=56_MEMBER=157_DE,GEN=50_MEMBER=1475_DE,GEN=26_MEMBER=752_DE,GEN=45_MEMBER=1330_DE,GEN=26_MEMBER=762_DE
GEN=56_MEMBER=158_DE,GEN=40_MEMBER=1186_DE,GEN=55_MEMBER=143_DE,GEN=26_MEMBER=752_DE,GEN=33_MEMBER=966_DE
