iteration,total_runs,obs_realization,par_realization,hmuni,hdeep,hshallow,v_lens,zert,zmuni,l_zmuni_pct,zwells,ztdem
1,386,3,3,132.405,34.2139,65.9973,0,762.855,0,0,706.962,688.488
1,386,4,4,95.0363,35.954,129.324,0,562.756,0,0,637.671,850.843
1,386,5,5,173.501,107.197,75.8975,0,762.352,0,0,219.48,511.676
1,386,6,6,97.1118,24.612,22.3037,0,1322.11,0,0,1374,1369.84
1,386,7,7,95.8513,50.5118,208.328,0,967.731,0,0,359.777,1265
1,386,8,8,123.713,134.187,9.39622,0,696.6,0,0,83.5314,520.585
1,386,9,9,296.563,250.502,313.487,0,1575.32,0,0,268.432,986.308
1,386,10,10,97.8022,50.071,80.3726,0,571.67,0,0,347.243,658.206
1,386,11,11,101.507,49.7927,17.9628,0,779.523,0,0,412.36,710.162
1,386,12,12,119.711,116.431,17.1217,0,581.437,0,0,91.1995,546.621
1,386,13,13,127.892,100.238,28.6466,0,691.48,0,0,160.915,536.076
1,386,14,14,118.967,150.29,21.4296,0,570.439,0,0,89.3545,638.041
1,386,17,17,171.922,72.8334,78.3483,0,803.051,0,0,220.557,515.019
1,386,18,18,369.706,245.603,495.268,0,1946.38,0,0,254.705,1132.31
1,386,19,19,222.54,177.227,118.123,0,1052.72,0,0,101.768,634.417
1,386,21,21,127.655,55.7409,71.1139,0,568.751,0,0,290.389,513.519
1,386,22,22,146.336,113.475,33.1816,0,650.743,0,0,119.073,622.554
1,386,23,23,140.708,42.4145,46.9506,0,732.662,0,0,604.255,620.118
1,386,24,24,166.653,142.391,38.5915,0,648.589,0,0,38.8378,463.629
1,386,25,25,107.439,56.1573,59.3442,0,724.435,0,0,321.203,753.708
1,386,26,26,129.705,110.876,4.67409,0,724.338,0,0,34.6143,733.719
1,386,27,27,124.757,68.3236,57.2357,0,812.103,0,0,271.088,1016.58
1,386,28,28,96.5103,56.6626,39.0232,0,594.971,0,0,330.859,569.79
1,386,29,29,105.414,88.5392,19.76,0,550.66,0,0,105.045,552.299
1,386,30,30,99.4888,16.7012,198.849,0,896.026,0,0,1066.83,1204.17
1,386,31,31,250.768,155.259,120.385,0,886.191,0,0,118.769,544.229
1,386,32,32,132.976,37.5505,143.145,0,901.75,0,0,421.254,734.058
1,386,33,33,192.995,124.98,50.2023,0,612.679,0,0,105.201,419.753
1,386,34,34,116.106,50.3896,27.8137,0,732.906,0,0,574.083,683.6
1,386,35,35,142.994,11.618,309.29,0,1908.55,0,0,2551,2344.82
1,386,36,36,252.015,89.9348,47.5689,0,962.262,0,0,244.515,683.344
1,386,37,37,100.558,12.6418,153.086,0,1034.15,0,0,1008.33,987.71
1,386,38,38,225.012,225.542,113.131,0,917.995,0,0,122.42,693.415
1,386,39,39,115.786,69.787,46.5562,0,631.872,0,0,189.525,598.828
1,386,40,40,105.923,50.939,36.0212,0,640.629,0,0,355.305,617.807
1,386,41,41,118.016,54.9186,34.4192,0,595.904,0,0,554.929,673.512
1,386,42,42,122.441,70.2808,60.3548,0,790.137,0,0,333.477,740.352
1,386,43,43,259.033,276.152,297.928,0,1411.71,0,0,262.978,897.842
1,386,44,44,245.215,200.739,250.702,0,1231.08,0,0,82.2987,791.058
1,386,46,46,196.64,93.9884,124.007,0,844.179,0,0,186.375,499.034
1,386,47,47,206.496,203.153,100.851,0,1178.2,0,0,193.503,768.513
1,386,48,48,127.384,89.0577,68.173,0,819.251,0,0,109.581,532.756
1,386,51,51,209.643,247.593,103.708,0,886.712,0,0,248.365,643.011
1,386,52,52,204.602,141.901,81.7971,0,979.537,0,0,79.341,516.484
1,386,53,53,237.848,73.7384,176.765,0,1061.22,0,0,441.668,640.507
1,386,54,54,183.824,135.638,41.5251,0,720.86,0,0,71.5734,522.52
1,386,55,55,105.965,53.8652,74.3454,0,647.396,0,0,327.02,569.734
1,386,56,56,87.2904,36.5915,112.154,0,493.824,0,0,607.371,665.849
1,386,57,57,197.072,78.1969,119.577,0,892.097,0,0,357.46,495.377
1,386,58,58,129.254,94.5622,3.32307,0,696.118,0,0,185.383,594.803
1,386,60,60,154.128,82.9592,87.5868,0,880.794,0,0,227.101,624.251
1,386,61,61,218.561,276.285,137.939,0,1362.46,0,0,499.014,931.005
1,386,62,62,156.673,96.1003,38.6403,0,755.703,0,0,188.705,521.249
1,386,63,63,96.5477,28.8909,136.795,0,1041.72,0,0,439.37,859.808
1,386,64,64,115.202,104.275,22.5609,0,542.202,0,0,128.277,680.235
1,386,65,65,213.729,218.042,135.646,0,1242.24,0,0,277.552,850.055
1,386,66,66,100.983,49.645,49.454,0,576.335,0,0,525.674,873.506
1,386,67,67,223.342,184.846,160.079,0,1155.43,0,0,60.6831,736.424
1,386,69,69,103.465,36.406,39.838,0,797.325,0,0,893.869,1075.46
1,386,71,71,257.676,229.137,144.14,0,1434.51,0,0,389.653,934.624
1,386,72,72,164.942,186.197,19.262,0,796.755,0,0,146.61,683.37
1,386,73,73,95.8643,22.7583,157.023,0,1070.03,0,0,979.028,1460.18
1,386,74,74,100.912,58.7319,38.6081,0,774.841,0,0,311.83,682.568
1,386,76,76,136.191,91.7028,22.061,0,710.779,0,0,142.837,580.7
1,386,77,77,127.868,69.2459,14.8271,0,585.646,0,0,400.296,658.248
1,386,78,78,212.25,102.288,153.182,0,1008.71,0,0,181.469,533.136
1,386,79,79,103.45,29.9186,102.185,0,594.188,0,0,545.262,640.729
1,386,80,80,89.5617,151.233,21.5286,0,702.252,0,0,131.116,690.429
1,386,81,81,104.617,24.8352,125.66,0,1051.58,0,0,977.004,1331.82
1,386,82,82,158.383,141.465,18.2169,0,612.9,0,0,55.8957,553.67
1,386,84,84,99.9233,50.3056,94.1365,0,915.156,0,0,294.465,767.901
1,386,85,85,113.614,33.3019,110.352,0,878.105,0,0,647.58,944.176
1,386,86,86,106.669,40.8894,41.1889,0,648.882,0,0,525.085,569.213
1,386,87,87,83.2588,40.9494,49.3134,0,567.006,0,0,669.67,840.19
1,386,88,88,91.0391,21.8863,69.9525,0,1145.36,0,0,1133.89,1226.79
1,386,89,89,138.939,69.2103,33.7768,0,603.349,0,0,436.671,839.722
1,386,90,90,126.259,86.9085,5.55672,0,637.614,0,0,209.434,548.483
1,386,91,91,198.53,216.529,115.965,0,1035.17,0,0,168.629,667.28
1,386,92,92,103.664,32.87,105.306,0,764.845,0,0,484.699,807.948
1,386,93,93,107.595,25.4487,110.541,0,958.425,0,0,1283.26,1431.57
1,386,94,94,103.549,61.1353,27.4574,0,749.783,0,0,216.019,676.132
1,386,95,95,114.58,77.9596,66.6671,0,480.038,0,0,228.018,777.013
1,386,96,96,207.356,219.622,141.592,0,1135.71,0,0,146.31,819.124
1,386,97,97,144.934,54.3396,180.527,0,821.85,0,0,442.013,1172.93
1,386,98,98,120.004,62.9779,81.2332,0,776.212,0,0,232.637,666.101
1,386,99,99,92.4917,65.1297,156.64,0,758.303,0,0,176.931,998.406
1,386,100,100,114.485,35.8344,68.5344,0,983.687,0,0,939.726,1007.64
1,386,101,101,114.226,108.83,5.99583,0,564.438,0,0,107.318,510.771
1,386,102,102,115.649,93.6097,15.8935,0,726.946,0,0,128.941,653.834
1,386,104,104,268.702,266.365,164.696,0,1260.02,0,0,360.168,920.413
1,386,106,106,110.393,142.704,7.75719,0,745.07,0,0,117.537,616.513
1,386,107,107,163.874,134.222,37.2724,0,684.567,0,0,122.522,541.868
1,386,108,108,127.861,131.068,16.6295,0,667.369,0,0,125.436,583.1
1,386,109,109,155.594,46.3042,74.5935,0,831.593,0,0,589.183,544.953
1,386,110,110,166.008,108.277,45.6438,0,676.422,0,0,81.8786,464.123
1,386,111,111,103.129,69.2092,39.2384,0,524.828,0,0,115.49,555.326
1,386,112,112,119.871,101.628,7.03889,0,469.695,0,0,183.424,574.118
1,386,113,113,132.774,69.7018,87.7518,0,698.398,0,0,137.369,545.223
1,386,114,114,100.133,21.6236,75.7049,0,899.639,0,0,1124.65,1123.85
1,386,115,115,138.041,61.5735,49.3734,0,782.631,0,0,343.233,482.699
1,386,116,116,145.101,47.1785,18.6611,0,730.053,0,0,1067.28,905.568
1,386,118,118,118.967,34.7918,73.8142,0,848.52,0,0,545.22,621.628
1,386,119,119,106.412,75.2933,24.2438,0,606.361,0,0,155.386,619.642
1,386,120,120,146.665,67.2384,100.901,0,692.668,0,0,267.821,577.127
1,386,122,122,101.143,87.8886,8.93897,0,622.42,0,0,77.844,523.394
1,386,123,123,174.461,144.333,70.1306,0,687.867,0,0,104.694,559.289
